split,year,team_name,wins,losses,num_games,win_percentage
in October,2014,Air Force,2,1,3,0.6666666666666666
in November,2014,Air Force,4,1,5,0.8
in December/January,2014,Air Force,1,0,1,1.0
All Games,2015,Air Force,8,6,14,0.5714285714285714
at Home,2015,Air Force,6,0,6,1.0
on Road/Neutral Site,2015,Air Force,2,6,8,0.25
vs. Conference,2015,Air Force,6,3,9,0.6666666666666666
vs. Non-Conference,2015,Air Force,2,3,5,0.4
vs. Ranked (AP),2015,Air Force,0,2,2,0.0
vs. Unranked (AP),2015,Air Force,8,4,12,0.6666666666666666
vs. FBS (I-A),2015,Air Force,7,6,13,0.5384615384615384
vs. FCS (I-AA),2015,Air Force,1,0,1,1.0
vs. FBS Winning,2015,Air Force,1,6,7,0.14285714285714285
vs. FBS Non-Winning,2015,Air Force,6,0,6,1.0
vs. BCS AQ,2015,Air Force,0,3,3,0.0
vs. BCS non-AQ,2015,Air Force,7,3,10,0.7
vs. FBS Power 5,2015,Air Force,0,2,2,0.0
vs. FBS non-Power 5,2015,Air Force,7,4,11,0.6363636363636364
in August/September,2015,Air Force,2,1,3,0.6666666666666666
in October,2015,Air Force,3,2,5,0.6
in November,2015,Air Force,3,1,4,0.75
in December/January,2015,Air Force,0,2,2,0.0
All Games,2016,Air Force,10,3,13,0.7692307692307693
at Home,2016,Air Force,5,1,6,0.8333333333333334
on Road/Neutral Site,2016,Air Force,5,2,7,0.7142857142857143
vs. Conference,2016,Air Force,5,3,8,0.625
vs. Non-Conference,2016,Air Force,5,0,5,1.0
vs. Ranked (AP),2016,Air Force,0,0,0,
vs. Unranked (AP),2016,Air Force,10,3,13,0.7692307692307693
vs. FBS (I-A),2016,Air Force,9,3,12,0.75
vs. FCS (I-AA),2016,Air Force,1,0,1,1.0
vs. FBS Winning,2016,Air Force,4,2,6,0.6666666666666666
vs. FBS Non-Winning,2016,Air Force,5,1,6,0.8333333333333334
vs. BCS AQ,2016,Air Force,1,0,1,1.0
vs. BCS non-AQ,2016,Air Force,8,3,11,0.7272727272727273
vs. FBS Power 5,2016,Air Force,0,0,0,
vs. FBS non-Power 5,2016,Air Force,9,3,12,0.75
in August/September,2016,Air Force,3,0,3,1.0
in October,2016,Air Force,2,3,5,0.4
in November,2016,Air Force,4,0,4,1.0
in December/January,2016,Air Force,1,0,1,1.0
All Games,2017,Air Force,5,7,12,0.4166666666666667
at Home,2017,Air Force,3,3,6,0.5
on Road/Neutral Site,2017,Air Force,2,4,6,0.3333333333333333
vs. Conference,2017,Air Force,4,4,8,0.5
vs. Non-Conference,2017,Air Force,1,3,4,0.25
vs. Ranked (AP),2017,Air Force,0,1,1,0.0
vs. Unranked (AP),2017,Air Force,5,6,11,0.45454545454545453
vs. FBS (I-A),2017,Air Force,4,7,11,0.36363636363636365
vs. FCS (I-AA),2017,Air Force,1,0,1,1.0
vs. FBS Winning,2017,Air Force,1,6,7,0.14285714285714285
vs. FBS Non-Winning,2017,Air Force,3,1,4,0.75
vs. BCS AQ,2017,Air Force,0,2,2,0.0
vs. BCS non-AQ,2017,Air Force,4,5,9,0.4444444444444444
vs. FBS Power 5,2017,Air Force,0,1,1,0.0
vs. FBS non-Power 5,2017,Air Force,4,6,10,0.4
in August/September,2017,Air Force,1,3,4,0.25
in October,2017,Air Force,3,1,4,0.75
in November,2017,Air Force,1,3,4,0.25
in December/January,2017,Air Force,0,0,0,
All Games,2018,Air Force,5,7,12,0.4166666666666667
at Home,2018,Air Force,4,2,6,0.6666666666666666
on Road/Neutral Site,2018,Air Force,1,5,6,0.16666666666666666
vs. Conference,2018,Air Force,3,5,8,0.375
vs. Non-Conference,2018,Air Force,2,2,4,0.5
vs. Ranked (AP),2018,Air Force,0,3,3,0.0
vs. Unranked (AP),2018,Air Force,5,4,9,0.5555555555555556
vs. FBS (I-A),2018,Air Force,4,7,11,0.36363636363636365
vs. FCS (I-AA),2018,Air Force,1,0,1,1.0
vs. FBS Winning,2018,Air Force,0,5,5,0.0
vs. FBS Non-Winning,2018,Air Force,4,2,6,0.6666666666666666
vs. BCS AQ,2018,Air Force,1,0,1,1.0
vs. BCS non-AQ,2018,Air Force,3,7,10,0.3
vs. FBS Power 5,2018,Air Force,0,0,0,
vs. FBS non-Power 5,2018,Air Force,4,7,11,0.36363636363636365
in August/September,2018,Air Force,1,3,4,0.25
in October,2018,Air Force,2,2,4,0.5
in November,2018,Air Force,2,2,4,0.5
in December/January,2018,Air Force,0,0,0,
All Games,2019,Air Force,11,2,13,0.8461538461538461
at Home,2019,Air Force,6,0,6,1.0
on Road/Neutral Site,2019,Air Force,5,2,7,0.7142857142857143
vs. Conference,2019,Air Force,7,1,8,0.875
vs. Non-Conference,2019,Air Force,4,1,5,0.8
vs. Ranked (AP),2019,Air Force,0,2,2,0.0
vs. Unranked (AP),2019,Air Force,11,0,11,1.0
vs. FBS (I-A),2019,Air Force,10,2,12,0.8333333333333334
vs. FCS (I-AA),2019,Air Force,1,0,1,1.0
vs. FBS Winning,2019,Air Force,3,2,5,0.6
