date,opponent,attendance,home_away,win_lose,points_scored,opponent_points_scored,game_duration,game_duration_seconds,year,team_name
2009-09-05,Nicholls St.,42205,home,W,72,0,02:54:00,10440.0,2009,Air Force
2009-09-12,Minnesota,50805,home,L,13,20,03:04:00,11040.0,2009,Air Force
2009-09-19,New Mexico,26246,home,W,37,13,03:01:00,10860.0,2009,Air Force
2009-09-26,San Diego St.,35929,home,W,26,14,02:58:00,10680.0,2009,Air Force
2009-10-03,Navy,37820,home,L,13,16,03:10:00,11400.0,2009,Air Force
2009-10-10,6  TCU,30104,home,L,17,20,03:11:00,11460.0,2009,Air Force
2009-10-17,Wyoming,34117,home,W,10,0,02:43:00,9780.0,2009,Air Force
2009-10-24,18  Utah,45129,home,L,16,23,03:06:00,11160.0,2009,Air Force
2009-10-31,Colorado St.,22025,home,W,34,16,02:44:00,9840.0,2009,Air Force
2009-11-07,Army,46212,home,W,35,7,02:52:00,10320.0,2009,Air Force
2009-11-14,UNLV,25370,home,W,45,17,02:56:00,10560.0,2009,Air Force
2009-11-21,12  Brigham Young,64071,home,L,21,38,03:12:00,11520.0,2009,Air Force
2009-12-31,+  Houston,41414,home,W,47,20,03:16:00,11760.0,2009,Air Force
2010-09-04,Northwestern St.,40236,home,W,65,21,03:43:00,13380.0,2010,Air Force
2010-09-11,Brigham Young,46692,home,W,35,14,03:02:00,10920.0,2010,Air Force
2010-09-18,6  Oklahoma,84332,home,L,24,27,03:16:00,11760.0,2010,Air Force
2010-09-25,Wyoming,22413,home,W,20,14,02:50:00,10200.0,2010,Air Force
2010-10-02,Navy,47565,home,W,14,6,02:44:00,9840.0,2010,Air Force
2010-10-09,Colorado St.,41547,home,W,49,27,02:54:00,10440.0,2010,Air Force
2010-10-16,San Diego St.,28178,home,L,25,27,03:41:00,13260.0,2010,Air Force
2010-10-23,2  TCU,46096,home,L,7,38,02:53:00,10380.0,2010,Air Force
2010-10-30,Utah,37211,home,L,23,28,03:12:00,11520.0,2010,Air Force
2010-11-06,Army,38128,home,W,42,22,03:10:00,11400.0,2010,Air Force
2010-11-13,New Mexico,27309,home,W,48,23,03:08:00,11280.0,2010,Air Force
2010-11-18,UNLV,13790,home,W,35,20,03:00:00,10800.0,2010,Air Force
2010-12-27,+  Georgia Tech,39362,home,W,14,7,03:00:00,10800.0,2010,Air Force
2011-09-03,South Dakota,39105,home,W,37,20,02:58:00,10680.0,2011,Air Force
2011-09-10,14  TCU,42107,home,L,19,35,03:07:00,11220.0,2011,Air Force
2011-09-24,Tennessee St.,33487,home,W,63,24,03:14:00,11640.0,2011,Air Force
2011-10-01,Navy,37506,home,W,35,34,03:32:00,12720.0,2011,Air Force
2011-10-08,Notre Dame,80795,home,L,33,59,03:23:00,12180.0,2011,Air Force
2011-10-13,San Diego St.,27490,home,L,27,41,03:11:00,11460.0,2011,Air Force
2011-10-22,8  Boise St.,34196,home,L,26,37,03:08:00,11280.0,2011,Air Force
2011-10-29,New Mexico,16691,home,W,42,0,02:45:00,9900.0,2011,Air Force
2011-11-05,Army,46709,home,W,24,14,03:13:00,11580.0,2011,Air Force
2011-11-12,Wyoming,33823,home,L,17,25,03:14:00,11640.0,2011,Air Force
2011-11-19,UNLV,24401,home,W,45,17,03:01:00,10860.0,2011,Air Force
2011-11-26,Colorado St.,14107,home,W,45,21,02:53:00,10380.0,2011,Air Force
2011-12-28,+  Toledo,25042,home,L,41,42,03:25:00,12300.0,2011,Air Force
2012-09-01,Idaho St.,35282,home,W,49,21,02:48:00,10080.0,2012,Air Force
2012-09-08,24  Michigan,112522,home,L,25,31,03:14:00,11640.0,2012,Air Force
2012-09-22,UNLV,14054,home,L,35,38,03:01:00,10860.0,2012,Air Force
2012-09-29,Colorado St.,38562,home,W,42,21,03:08:00,11280.0,2012,Air Force
2012-10-06,Navy,38927,home,L,21,28,03:20:00,12000.0,2012,Air Force
2012-10-13,Wyoming,22627,home,W,28,27,03:01:00,10860.0,2012,Air Force
2012-10-20,New Mexico,29726,home,W,28,23,02:51:00,10260.0,2012,Air Force
2012-10-26,Nevada,24277,home,W,48,31,03:20:00,12000.0,2012,Air Force
2012-11-03,Army,37707,home,L,21,41,03:20:00,12000.0,2012,Air Force
2012-11-10,San Diego St.,30266,home,L,9,28,02:50:00,10200.0,2012,Air Force
2012-11-16,Hawaii,25313,home,W,21,7,02:55:00,10500.0,2012,Air Force
2012-11-24,Fresno St.,36240,home,L,15,48,03:00:00,10800.0,2012,Air Force
2012-12-29,+  Rice,40754,home,L,14,33,03:22:00,12120.0,2012,Air Force
2013-08-31,Colgate,32095,home,W,38,13,02:53:00,10380.0,2013,Air Force
2013-09-07,Utah St.,32716,home,L,20,52,03:26:00,12360.0,2013,Air Force
2013-09-13,Boise St.,36069,home,L,20,42,02:58:00,10680.0,2013,Air Force
2013-09-21,Wyoming,35389,home,L,23,56,03:30:00,12600.0,2013,Air Force
2013-09-28,Nevada,24545,home,L,42,45,03:41:00,13260.0,2013,Air Force
2013-10-05,Navy,38225,home,L,10,28,03:01:00,10860.0,2013,Air Force
2013-10-10,San Diego St.,17280,home,L,20,27,03:13:00,11580.0,2013,Air Force
2013-10-26,20  Notre Dame,44672,home,L,10,45,03:15:00,11700.0,2013,Air Force
2013-11-02,Army,36512,home,W,42,28,03:20:00,12000.0,2013,Air Force
2013-11-08,New Mexico,21833,home,L,37,45,03:13:00,11580.0,2013,Air Force
2013-11-21,UNLV,29898,home,L,21,41,03:18:00,11880.0,2013,Air Force
2013-11-30,Colorado St.,15546,home,L,13,58,03:01:00,10860.0,2013,Air Force
2014-08-30,Nicholls St.,32038,home,W,44,16,03:12:00,11520.0,2014,Air Force
2014-09-06,Wyoming,21246,home,L,13,17,03:13:00,11580.0,2014,Air Force
2014-09-13,Georgia St.,16836,home,W,48,38,03:16:00,11760.0,2014,Air Force
2014-09-27,16  Boise St.,30012,home,W,28,14,03:49:00,13740.0,2014,Air Force
2014-10-04,Navy,37731,home,W,30,21,03:24:00,12240.0,2014,Air Force
2014-10-11,Utah St.,24037,home,L,16,34,03:28:00,12480.0,2014,Air Force
2014-10-18,New Mexico,25017,home,W,35,31,02:56:00,10560.0,2014,Air Force
2014-11-01,Army,40479,home,W,23,6,03:05:00,11100.0,2014,Air Force
2014-11-08,UNLV,13481,home,W,48,21,02:59:00,10740.0,2014,Air Force
2014-11-15,Nevada,11519,home,W,45,38,03:22:00,12120.0,2014,Air Force
2014-11-21,San Diego St.,28626,home,L,14,30,03:21:00,12060.0,2014,Air Force
2014-11-28,Colorado St.,32650,home,W,27,24,03:36:00,12960.0,2014,Air Force
2014-12-20,+  Western Mich.,18223,home,W,38,24,03:25:00,12300.0,2014,Air Force
2015-09-05,Morgan St.,33734,home,W,63,7,02:58:00,10680.0,2015,Air Force
2015-09-12,San Jose St.,22389,home,W,37,16,03:32:00,12720.0,2015,Air Force
2015-09-19,6  Michigan St.,74211,home,L,21,35,03:16:00,11760.0,2015,Air Force
2015-10-03,18  Navy,32705,home,L,11,33,03:24:00,12240.0,2015,Air Force
2015-10-10,Wyoming,22023,home,W,31,17,03:14:00,11640.0,2015,Air Force
2015-10-17,Colorado St.,32546,home,L,23,38,03:27:00,12420.0,2015,Air Force
2015-10-24,Fresno St.,20213,home,W,42,14,03:07:00,11220.0,2015,Air Force
2015-10-31,Hawaii,22430,home,W,58,7,03:33:00,12780.0,2015,Air Force
2015-11-07,Army,37716,home,W,20,3,02:55:00,10500.0,2015,Air Force
2015-11-14,Utah St.,20083,home,W,35,28,03:16:00,11760.0,2015,Air Force
2015-11-20,Boise St.,30332,home,W,37,30,03:33:00,12780.0,2015,Air Force
2015-11-28,New Mexico,18868,home,L,35,47,03:10:00,11400.0,2015,Air Force
2015-12-05,San Diego St.,20959,home,L,24,27,03:12:00,11520.0,2015,Air Force
2015-12-29,+  California,38915,home,L,36,55,03:37:00,13020.0,2015,Air Force
2016-09-03,Abilene Christian,34128,home,W,37,21,03:10:00,11400.0,2016,Air Force
2016-09-10,Georgia St.,24173,home,W,48,14,03:00:00,10800.0,2016,Air Force
2016-09-24,Utah St.,23104,home,W,27,20,03:49:00,13740.0,2016,Air Force
2016-10-01,Navy,43063,home,W,28,14,03:11:00,11460.0,2016,Air Force
2016-10-08,Wyoming,26623,home,L,26,35,03:16:00,11760.0,2016,Air Force
2016-10-15,+  New Mexico,18756,home,L,40,45,03:44:00,13440.0,2016,Air Force
2016-10-22,Hawaii,29132,home,L,27,34,03:43:00,13380.0,2016,Air Force
2016-10-28,Fresno St.,25197,home,W,31,21,03:22:00,12120.0,2016,Air Force
2016-11-05,Army,38443,home,W,31,12,03:08:00,11280.0,2016,Air Force
2016-11-12,Colorado St.,23467,home,W,49,46,03:36:00,12960.0,2016,Air Force
2016-11-19,San Jose St.,15533,home,W,41,38,03:36:00,12960.0,2016,Air Force
2016-11-25,Boise St.,23556,home,W,27,20,03:20:00,12000.0,2016,Air Force
2016-12-30,+  South Ala.,33868,home,W,45,21,03:06:00,11160.0,2016,Air Force
2017-09-02,VMI,37286,home,W,62,0,02:56:00,10560.0,2017,Air Force
2017-09-16,Michigan,111387,home,L,13,29,03:13:00,11580.0,2017,Air Force
2017-09-23,San Diego St.,27575,home,L,24,28,04:21:00,15660.0,2017,Air Force
2017-09-30,New Mexico,21864,home,L,38,56,04:10:00,15000.0,2017,Air Force
2017-10-07,Navy,38792,home,L,45,48,03:36:00,12960.0,2017,Air Force
2017-10-14,UNLV,26679,home,W,34,30,03:07:00,11220.0,2017,Air Force
2017-10-20,Nevada,16789,home,W,45,42,03:29:00,12540.0,2017,Air Force
2017-10-28,Colorado St.,33074,home,W,45,28,03:15:00,11700.0,2017,Air Force
2017-11-04,Army,41875,home,L,0,21,02:51:00,10260.0,2017,Air Force
2017-11-11,Wyoming,24257,home,L,14,28,03:22:00,12120.0,2017,Air Force
2017-11-18,22  Boise St.,33030,home,L,19,44,03:02:00,10920.0,2017,Air Force
2017-11-25,Utah St.,17252,home,W,38,35,03:28:00,12480.0,2017,Air Force
2018-09-01,Stony Brook,33415,home,W,38,0,03:49:00,13740.0,2018,Air Force
2018-09-08,Fla. Atlantic,24101,home,L,27,33,02:59:00,10740.0,2018,Air Force
2018-09-22,22  Utah St.,22720,home,L,32,42,03:35:00,12900.0,2018,Air Force
2018-09-29,Nevada,23707,home,L,25,28,03:15:00,11700.0,2018,Air Force
2018-10-06,Navy,40175,home,W,35,7,03:02:00,10920.0,2018,Air Force
2018-10-12,San Diego St.,25326,home,L,17,21,04:34:00,16440.0,2018,Air Force
2018-10-19,UNLV,17881,home,W,41,35,03:17:00,11820.0,2018,Air Force
2018-10-27,23  Boise St.,27753,home,L,38,48,03:24:00,12240.0,2018,Air Force
2018-11-03,19  Army,38502,home,L,14,17,03:12:00,11520.0,2018,Air Force
2018-11-10,New Mexico,23723,home,W,42,24,03:08:00,11280.0,2018,Air Force
2018-11-17,Wyoming,14966,home,L,27,35,03:10:00,11400.0,2018,Air Force
2018-11-22,Colorado St.,17432,home,W,27,19,03:16:00,11760.0,2018,Air Force
2019-08-31,Colgate,33101,home,W,48,7,03:00:00,10800.0,2019,Air Force
2019-09-14,Colorado,49282,home,W,30,23,03:09:00,11340.0,2019,Air Force
2019-09-20,23  Boise St.,36498,home,L,19,30,02:57:00,10620.0,2019,Air Force
2019-09-27,San Jose St.,24786,home,W,41,24,03:21:00,12060.0,2019,Air Force
2019-10-05,20  Navy,37957,home,L,25,34,03:37:00,13020.0,2019,Air Force
2019-10-12,Fresno St.,22544,home,W,43,24,02:55:00,10500.0,2019,Air Force
2019-10-19,Hawaii,23757,home,W,56,26,03:26:00,12360.0,2019,Air Force
2019-10-26,Utah St.,19248,home,W,31,7,02:51:00,10260.0,2019,Air Force
2019-11-02,Army,41401,home,W,17,13,03:06:00,11160.0,2019,Air Force
2019-11-16,Colorado St.,24914,home,W,38,21,03:31:00,12660.0,2019,Air Force
2019-11-23,New Mexico,13844,home,W,44,22,02:56:00,10560.0,2019,Air Force
2019-11-30,Wyoming,21425,home,W,20,6,02:43:00,9780.0,2019,Air Force
2019-12-27,+  Washington St.,34105,home,W,31,21,03:16:00,11760.0,2019,Air Force
2020-10-03,Navy,5000,home,W,40,7,03:13:00,11580.0,2020,Air Force
2020-10-24,19  San Jose St.,0,home,L,6,17,03:11:00,11460.0,2020,Air Force
2020-10-31,Boise St.,500,home,L,30,49,03:14:00,11640.0,2020,Air Force
2020-11-20,New Mexico,100,home,W,28,0,03:05:00,11100.0,2020,Air Force
2020-12-03,Utah St.,3025,home,W,35,7,03:11:00,11460.0,2020,Air Force
2020-12-19,Army,1306,home,L,7,10,02:51:00,10260.0,2020,Air Force
2021-09-04,Lafayette,30012,home,W,35,14,03:12:00,11520.0,2021,Air Force
2021-09-11,Navy,36997,home,W,23,3,03:08:00,11280.0,2021,Air Force
2021-09-18,24  Utah St.,20264,home,L,45,49,03:35:00,12900.0,2021,Air Force
2021-09-25,Fla. Atlantic,19763,home,W,31,7,03:45:00,13500.0,2021,Air Force
2021-10-02,New Mexico,13158,home,W,38,10,03:15:00,11700.0,2021,Air Force
2021-10-09,Wyoming,24832,home,W,24,14,03:21:00,12060.0,2021,Air Force
2021-10-16,Boise St.,34446,home,W,24,17,03:23:00,12180.0,2021,Air Force
2021-10-23,25  San Diego St.,23887,home,L,14,20,03:06:00,11160.0,2021,Air Force
2021-11-06,+  Army,32537,home,L,14,21,03:19:00,11940.0,2021,Air Force
2021-11-13,Colorado St.,25550,home,W,35,21,03:14:00,11640.0,2021,Air Force
2021-11-19,Nevada,15206,home,W,41,39,04:13:00,15180.0,2021,Air Force
2021-11-26,UNLV,18226,home,W,48,14,02:59:00,10740.0,2021,Air Force
2021-12-28,+  Louisville,15251,home,W,31,28,03:03:00,10980.0,2021,Air Force
2022-09-03,Northern Iowa,31180,home,W,48,17,03:00:00,10800.0,2022,Air Force
2022-09-10,Colorado,33647,home,W,41,10,03:12:00,11520.0,2022,Air Force
2022-09-16,Wyoming,18277,home,L,14,17,02:47:00,10020.0,2022,Air Force
2022-09-23,Nevada,20506,home,W,48,20,03:06:00,11160.0,2022,Air Force
2022-10-01,Navy,36947,home,W,13,10,03:07:00,11220.0,2022,Air Force
2022-10-08,Utah St.,19105,home,L,27,34,03:10:00,11400.0,2022,Air Force
2022-10-15,UNLV,23847,home,W,42,7,02:47:00,10020.0,2022,Air Force
2022-10-22,Boise St.,25254,home,L,14,19,03:38:00,13080.0,2022,Air Force
2022-11-05,+  Army,33912,home,W,13,7,03:05:00,11100.0,2022,Air Force
2022-11-12,New Mexico,20827,home,W,35,3,02:56:00,10560.0,2022,Air Force
2022-11-19,Colorado St.,20121,home,W,24,12,02:54:00,10440.0,2022,Air Force
2022-11-26,San Diego St.,25223,home,W,13,3,02:54:00,10440.0,2022,Air Force
2022-12-22,+  Baylor,0,home,W,30,15,03:26:00,12360.0,2022,Air Force
2009-09-05,9  Penn St.,104968,home,L,7,31,02:56:00,10560.0,2009,Akron
2009-09-12,Morgan St.,27881,home,W,41,0,02:45:00,9900.0,2009,Akron
2009-09-19,Indiana,18340,home,L,21,38,02:55:00,10500.0,2009,Akron
2009-09-26,23  Central Mich.,20032,home,L,21,48,02:59:00,10740.0,2009,Akron
2009-10-10,Ohio,16381,home,L,7,19,03:00:00,10800.0,2009,Akron
2009-10-17,Buffalo,13750,home,L,17,21,03:18:00,11880.0,2009,Akron
2009-10-24,Syracuse,36991,home,L,14,28,02:58:00,10680.0,2009,Akron
2009-10-31,Northern Ill.,10148,home,L,10,27,03:11:00,11460.0,2009,Akron
2009-11-07,Kent St.,20802,home,W,28,20,03:30:00,12600.0,2009,Akron
2009-11-13,Temple,10927,home,L,17,56,03:25:00,12300.0,2009,Akron
2009-11-20,Bowling Green,9163,home,L,20,36,03:11:00,11460.0,2009,Akron
2009-11-27,Eastern Mich.,9962,home,W,28,21,02:45:00,9900.0,2009,Akron
2010-09-04,Syracuse,15969,home,L,3,29,03:00:00,10800.0,2010,Akron
2010-09-11,Gardner-Webb,10046,home,L,37,38,03:15:00,11700.0,2010,Akron
2010-09-18,Kentucky,64014,home,L,10,47,03:04:00,11040.0,2010,Akron
2010-09-25,Indiana,42258,home,L,20,35,02:49:00,10140.0,2010,Akron
2010-10-02,Northern Ill.,12133,home,L,14,50,03:50:00,13800.0,2010,Akron
2010-10-09,Kent St.,24221,home,L,17,28,03:21:00,12060.0,2010,Akron
2010-10-16,Ohio,21645,home,L,10,38,02:55:00,10500.0,2010,Akron
2010-10-23,Western Mich.,10073,home,L,10,56,02:55:00,10500.0,2010,Akron
2010-10-30,Temple,17563,home,L,0,30,02:51:00,10260.0,2010,Akron
2010-11-06,Ball St.,5377,home,L,30,37,03:30:00,12600.0,2010,Akron
2010-11-17,Miami (Ohio),7671,home,L,14,19,03:20:00,12000.0,2010,Akron
2010-11-26,Buffalo,5216,home,W,22,14,03:30:00,12600.0,2010,Akron
2011-09-03,Ohio St.,105001,home,L,0,42,03:12:00,11520.0,2011,Akron
2011-09-10,Temple,15156,home,L,3,41,04:20:00,15600.0,2011,Akron
2011-09-17,25  Cincinnati,24991,home,L,14,59,03:00:00,10800.0,2011,Akron
2011-09-24,VMI,14257,home,W,36,13,03:11:00,11460.0,2011,Akron
2011-10-01,Eastern Mich.,3375,home,L,23,31,03:13:00,11580.0,2011,Akron
2011-10-08,Florida Int'l,16016,home,L,17,27,03:02:00,10920.0,2011,Akron
2011-10-22,Ohio,14760,home,L,20,37,03:14:00,11640.0,2011,Akron
2011-10-29,Central Mich.,14327,home,L,22,23,03:11:00,11460.0,2011,Akron
2011-11-03,Miami (Ohio),12968,home,L,3,35,03:20:00,12000.0,2011,Akron
2011-11-12,Kent St.,19889,home,L,3,35,03:02:00,10920.0,2011,Akron
2011-11-19,Buffalo,14509,home,L,10,51,03:00:00,10800.0,2011,Akron
2011-11-25,Western Mich.,16582,home,L,19,68,03:09:00,11340.0,2011,Akron
2012-08-30,UCF,12616,home,L,14,56,03:05:00,11100.0,2012,Akron
2012-09-08,Florida Int'l,15685,home,L,38,41,04:20:00,15600.0,2012,Akron
2012-09-15,Morgan St.,9933,home,W,66,6,03:42:00,13320.0,2012,Akron
2012-09-22,Tennessee,81719,home,L,26,47,03:30:00,12600.0,2012,Akron
2012-09-29,Miami (Ohio),8211,home,L,49,56,03:50:00,13800.0,2012,Akron
2012-10-06,Bowling Green,10102,home,L,10,24,03:20:00,12000.0,2012,Akron
2012-10-13,Ohio,25542,home,L,28,34,03:20:00,12000.0,2012,Akron
2012-10-20,22  Northern Ill.,7074,home,L,7,37,03:17:00,11820.0,2012,Akron
2012-10-27,Central Mich.,10172,home,L,14,35,03:15:00,11700.0,2012,Akron
2012-11-03,Kent St.,18265,home,L,24,35,03:04:00,11040.0,2012,Akron
2012-11-10,Massachusetts,7716,home,L,14,22,03:25:00,12300.0,2012,Akron
2012-11-20,Toledo,14589,home,L,23,35,03:38:00,13080.0,2012,Akron
2013-08-29,10  UCF,35115,home,L,7,38,02:49:00,10140.0,2013,Akron
2013-09-07,James Madison,9653,home,W,35,33,03:40:00,13200.0,2013,Akron
2013-09-14,Michigan,107120,home,L,24,28,03:19:00,11940.0,2013,Akron
2013-09-21,La.-Lafayette,18809,home,L,30,35,03:23:00,12180.0,2013,Akron
2013-09-28,Bowling Green,13262,home,L,14,31,03:11:00,11460.0,2013,Akron
2013-10-05,Ohio,19775,home,L,3,43,03:13:00,11580.0,2013,Akron
2013-10-12,Northern Ill.,23595,home,L,20,27,03:35:00,12900.0,2013,Akron
2013-10-19,Miami (Ohio),15164,home,W,24,17,03:02:00,10920.0,2013,Akron
2013-10-26,Ball St.,16119,home,L,24,42,03:26:00,12360.0,2013,Akron
2013-11-02,Kent St.,20239,home,W,16,7,03:09:00,11340.0,2013,Akron
2013-11-16,Massachusetts,10599,home,W,14,13,02:57:00,10620.0,2013,Akron
2013-11-29,Toledo,12506,home,W,31,29,03:20:00,12000.0,2013,Akron
2014-08-28,Howard,9104,home,W,41,0,03:16:00,11760.0,2014,Akron
2014-09-06,Penn St.,97354,home,L,3,21,03:15:00,11700.0,2014,Akron
2014-09-20,23  Marshall,13357,home,L,17,48,03:40:00,13200.0,2014,Akron
2014-09-27,Pittsburgh,40059,home,W,21,10,03:23:00,12180.0,2014,Akron
2014-10-04,Eastern Mich.,8416,home,W,31,6,03:20:00,12000.0,2014,Akron
2014-10-11,Miami (Ohio),8223,home,W,29,19,03:28:00,12480.0,2014,Akron
2014-10-18,Ohio,20018,home,L,20,23,03:36:00,12960.0,2014,Akron
2014-10-25,Ball St.,7617,home,L,21,35,03:27:00,12420.0,2014,Akron
2014-11-04,Bowling Green,10348,home,L,10,27,03:45:00,13500.0,2014,Akron
2014-11-11,Buffalo,17343,home,L,24,55,03:25:00,12300.0,2014,Akron
2014-11-18,Massachusetts,5571,home,W,30,6,03:05:00,11100.0,2014,Akron
2014-11-28,Kent St.,5118,home,L,24,27,03:23:00,12180.0,2014,Akron
2015-09-05,5  Oklahoma,85370,home,L,3,41,03:33:00,12780.0,2015,Akron
2015-09-12,Pittsburgh,23425,home,L,7,24,02:56:00,10560.0,2015,Akron
2015-09-19,Savannah St.,16763,home,W,52,9,03:15:00,11700.0,2015,Akron
2015-09-26,La.-Lafayette,24679,home,W,35,14,03:20:00,12000.0,2015,Akron
2015-10-03,Ohio,17301,home,L,12,14,03:04:00,11040.0,2015,Akron
2015-10-10,Eastern Mich.,5638,home,W,47,21,03:14:00,11640.0,2015,Akron
2015-10-17,Bowling Green,20021,home,L,10,59,03:21:00,12060.0,2015,Akron
2015-10-31,Central Mich.,18981,home,L,6,14,02:58:00,10680.0,2015,Akron
2015-11-07,Massachusetts,6228,home,W,17,13,03:48:00,13680.0,2015,Akron
2015-11-14,Miami (Ohio),15629,home,W,37,28,03:44:00,13440.0,2015,Akron
2015-11-21,Buffalo,15727,home,W,42,21,03:42:00,13320.0,2015,Akron
2015-11-27,Kent St.,16391,home,W,20,0,03:00:00,10800.0,2015,Akron
2015-12-22,+  Utah St.,18876,home,W,23,21,03:30:00,12600.0,2015,Akron
2016-09-03,VMI,11061,home,W,47,24,03:18:00,11880.0,2016,Akron
2016-09-10,8  Wisconsin,77331,home,L,10,54,03:19:00,11940.0,2016,Akron
2016-09-17,Marshall,24258,home,W,65,38,04:05:00,14700.0,2016,Akron
2016-09-24,Appalachian St.,15381,home,L,38,45,03:20:00,12000.0,2016,Akron
2016-10-01,Kent St.,20167,home,W,31,27,03:35:00,12900.0,2016,Akron
2016-10-08,Miami (Ohio),11094,home,W,35,13,03:10:00,11400.0,2016,Akron
2016-10-15,12  Western Mich.,11321,home,L,0,41,03:33:00,12780.0,2016,Akron
2016-10-22,Ball St.,10739,home,W,35,25,03:07:00,11220.0,2016,Akron
2016-10-27,Buffalo,15012,home,L,20,41,03:18:00,11880.0,2016,Akron
2016-11-02,Toledo,6559,home,L,17,48,03:30:00,12600.0,2016,Akron
2016-11-09,Bowling Green,6605,home,L,28,38,03:53:00,13980.0,2016,Akron
2016-11-22,Ohio,18025,home,L,3,9,02:59:00,10740.0,2016,Akron
2017-09-02,8  Penn St.,101684,home,L,0,52,03:25:00,12300.0,2017,Akron
2017-09-09,Ark.-Pine Bluff,17464,home,W,52,3,03:18:00,11880.0,2017,Akron
2017-09-16,Iowa St.,22811,home,L,14,41,03:34:00,12840.0,2017,Akron
2017-09-23,Troy,27324,home,L,17,22,03:43:00,13380.0,2017,Akron
2017-09-30,Bowling Green,15111,home,W,34,23,03:18:00,11880.0,2017,Akron
2017-10-07,Ball St.,20199,home,W,31,3,03:03:00,10980.0,2017,Akron
2017-10-15,Western Mich.,16568,home,W,14,13,03:07:00,11220.0,2017,Akron
2017-10-21,Toledo,20414,home,L,21,48,03:15:00,11700.0,2017,Akron
2017-10-28,Buffalo,17427,home,W,21,20,03:15:00,11700.0,2017,Akron
2017-11-07,Miami (Ohio),12813,home,L,14,24,03:23:00,12180.0,2017,Akron
2017-11-14,Ohio,17832,home,W,37,34,03:50:00,13800.0,2017,Akron
2017-11-21,Kent St.,21683,home,W,24,14,03:13:00,11580.0,2017,Akron
2017-12-02,+  Toledo,16225,home,L,28,45,03:54:00,14040.0,2017,Akron
2017-12-19,Fla. Atlantic,25912,home,L,3,50,03:13:00,11580.0,2017,Akron
2018-09-08,Morgan St.,18413,home,W,41,7,03:14:00,11640.0,2018,Akron
2018-09-15,21  Northwestern,40014,home,W,39,34,03:49:00,13740.0,2018,Akron
2018-09-22,Iowa St.,54028,home,L,13,26,03:16:00,11760.0,2018,Akron
2018-10-06,Miami (Ohio),22437,home,L,17,41,03:22:00,12120.0,2018,Akron
2018-10-13,Buffalo,19506,home,L,6,24,03:13:00,11580.0,2018,Akron
2018-10-20,Kent St.,18774,home,W,24,23,03:19:00,11940.0,2018,Akron
2018-10-27,Central Mich.,17582,home,W,17,10,03:18:00,11880.0,2018,Akron
2018-11-01,Northern Ill.,16401,home,L,26,36,03:31:00,12660.0,2018,Akron
2018-11-10,Eastern Mich.,12403,home,L,7,27,02:57:00,10620.0,2018,Akron
2018-11-17,Bowling Green,17742,home,L,6,21,03:05:00,11100.0,2018,Akron
2018-11-23,Ohio,12938,home,L,28,49,03:28:00,12480.0,2018,Akron
2018-12-01,South Carolina,53420,home,L,3,28,03:17:00,11820.0,2018,Akron
2019-08-31,Illinois,30654,home,L,3,42,03:14:00,11640.0,2019,Akron
2019-09-07,UAB,18972,home,L,20,31,03:28:00,12480.0,2019,Akron
2019-09-14,Central Mich.,18641,home,L,24,45,03:38:00,13080.0,2019,Akron
2019-09-21,Troy,16954,home,L,7,35,02:57:00,10620.0,2019,Akron
2019-09-28,Massachusetts,7284,home,L,29,37,03:16:00,11760.0,2019,Akron
2019-10-12,Kent St.,22692,home,L,3,26,03:05:00,11100.0,2019,Akron
2019-10-19,Buffalo,16909,home,L,0,21,02:57:00,10620.0,2019,Akron
2019-10-26,Northern Ill.,9027,home,L,0,49,02:48:00,10080.0,2019,Akron
2019-11-02,Bowling Green,12113,home,L,6,35,03:13:00,11580.0,2019,Akron
2019-11-12,Eastern Mich.,10811,home,L,14,42,03:05:00,11100.0,2019,Akron
2019-11-20,Miami (Ohio),22921,home,L,17,20,03:03:00,10980.0,2019,Akron
2019-11-26,Ohio,21414,home,L,3,52,03:05:00,11100.0,2019,Akron
2020-11-04,Western Mich.,490,home,L,13,58,03:20:00,12000.0,2020,Akron
2020-11-10,Ohio,1182,home,L,10,24,03:25:00,12300.0,2020,Akron
2020-11-17,Kent St.,0,home,L,35,69,03:20:00,12000.0,2020,Akron
2020-11-28,Miami (Ohio),0,home,L,7,38,03:00:00,10800.0,2020,Akron
2020-12-05,Bowling Green,0,home,W,31,3,02:55:00,10500.0,2020,Akron
2020-12-12,Buffalo,0,home,L,7,56,03:14:00,11640.0,2020,Akron
2021-09-04,Auburn,83821,home,L,10,60,03:07:00,11220.0,2021,Akron
2021-09-11,Temple,14573,home,L,24,45,02:25:00,8700.0,2021,Akron
2021-09-18,Bryant,8779,home,W,35,14,03:00:00,10800.0,2021,Akron
2021-09-25,6  Ohio St.,95178,home,L,7,59,03:21:00,12060.0,2021,Akron
2021-10-02,Ohio,12616,home,L,17,34,03:23:00,12180.0,2021,Akron
2021-10-09,Bowling Green,17797,home,W,35,20,03:07:00,11220.0,2021,Akron
2021-10-16,Miami (Ohio),11042,home,L,21,34,03:17:00,11820.0,2021,Akron
2021-10-23,Buffalo,8635,home,L,10,45,03:19:00,11940.0,2021,Akron
2021-11-02,Ball St.,7683,home,L,25,31,03:48:00,13680.0,2021,Akron
2021-11-09,Western Mich.,8443,home,L,40,45,03:48:00,13680.0,2021,Akron
2021-11-20,Kent St.,8879,home,L,0,38,03:07:00,11220.0,2021,Akron
