year,team_name,scoring_points_per_game,first_downs_total,rushing_yardsperattempt,passing_rating,passing_yards,total_offense_yardsperplay,punt_returns_yardsperreturn,kickoff_returns_yardsperreturn,punting_yardsperpunt,time_of_possessionpergame,third_down_conversions_conversion_perc,fourth_down_conversions_conversion_perc,red_zone_success_perc,field_goals_success_perc,pat_kicking_success_perc,two_point_conversions_success_perc,scoring_games,scoring_points,first_downs_rushing,first_downs_passing,first_downs_by_penalty,rushing_attempts,rushing_yards,rushing_td,passing_attempts,passing_completions,passing_interceptions,passing_td,total_offense_plays,total_offense_yards,punt_returns_returns,punt_returns_yards,punt_returns_td,kickoff_returns_returns,kickoff_returns_yards,kickoff_returns_td,punting_punts,punting_yards,interceptions_returns,interceptions_yards,interceptions_td,fumbles_number,fumbles_lost,penalties_number,penalties_yards,third_down_conversions_attempts,third_down_conversions_conversions,fourth_down_conversions_attempts,fourth_down_conversions_conversions,red_zone_attempts,red_zone_scores,field_goals_attempts,field_goals_made,pat_kicking_attempts,pat_kicking_made,two_point_conversions_attempts,two_point_conversions_made,opponent_scoring_points_per_game,opponent_first_downs_total,opponent_rushing_yardsperattempt,opponent_passing_rating,opponent_passing_yards,opponent_total_offense_yardsperplay,opponent_punt_returns_yardsperreturn,opponent_kickoff_returns_yardsperreturn,opponent_punting_yardsperpunt,opponent_time_of_possessionpergame,opponent_third_down_conversions_conversion_perc,opponent_fourth_down_conversions_conversion_perc,opponent_red_zone_success_perc,opponent_field_goals_success_perc,opponent_pat_kicking_success_perc,opponent_two_point_conversions_success_perc,opponent_scoring_games,opponent_scoring_points,opponent_first_downs_rushing,opponent_first_downs_passing,opponent_first_downs_by_penalty,opponent_rushing_attempts,opponent_rushing_yards,opponent_rushing_td,opponent_passing_attempts,opponent_passing_completions,opponent_passing_interceptions,opponent_passing_td,opponent_total_offense_plays,opponent_total_offense_yards,opponent_punt_returns_returns,opponent_punt_returns_yards,opponent_punt_returns_td,opponent_kickoff_returns_returns,opponent_kickoff_returns_yards,opponent_kickoff_returns_td,opponent_punting_punts,opponent_punting_yards,opponent_interceptions_returns,opponent_interceptions_yards,opponent_interceptions_td,opponent_fumbles_number,opponent_fumbles_lost,opponent_penalties_number,opponent_penalties_yards,opponent_third_down_conversions_attempts,opponent_third_down_conversions_conversions,opponent_fourth_down_conversions_attempts,opponent_fourth_down_conversions_conversions,opponent_red_zone_attempts,opponent_red_zone_scores,opponent_field_goals_attempts,opponent_field_goals_made,opponent_pat_kicking_attempts,opponent_pat_kicking_made,opponent_two_point_conversions_attempts,opponent_two_point_conversions_made
2019,Air Force,34.1,286.0,5.14,187.92,1602.0,6.22,1.2,13.29,40.42,34:28.23,0.535,0.7619,0.8889,1.0,0.929,0.5,13.0,443.0,227.0,52.0,7.0,755.0,3881.0,41.0,126.0,68.0,6.0,14.0,881.0,5483.0,5.0,6.0,0.0,7.0,93.0,0.0,31.0,1253.0,7.0,240.0,3.0,24.0,12.0,42.0,368.0,157.0,84.0,21.0,16.0,54.0,48.0,13.0,13.0,56.0,52.0,2.0,1.0,19.8,216.0,3.49,141.25,2848.0,5.53,5.43,21.44,43.96,25:31.77,0.40509999999999996,0.4643,0.7209,0.75,0.871,0.0,13.0,258.0,77.0,131.0,8.0,375.0,1307.0,11.0,377.0,238.0,7.0,21.0,752.0,4155.0,7.0,38.0,0.0,36.0,772.0,0.0,47.0,2066.0,6.0,161.0,0.0,23.0,9.0,54.0,392.0,158.0,64.0,28.0,13.0,43.0,31.0,12.0,9.0,31.0,27.0,2.0,0.0
2020,Air Force,24.3,128.0,5.88,131.26,502.0,6.26,5.0,32.0,40.69,32:30.00,0.4853,0.7273000000000001,0.7082999999999999,0.556,1.0,0.0,6.0,146.0,98.0,23.0,7.0,312.0,1834.0,16.0,61.0,34.0,3.0,3.0,373.0,2336.0,1.0,5.0,0.0,1.0,32.0,0.0,16.0,651.0,5.0,88.0,0.0,9.0,5.0,27.0,245.0,68.0,33.0,11.0,8.0,24.0,17.0,9.0,5.0,17.0,17.0,2.0,0.0,15.0,106.0,3.77,129.5,1001.0,5.06,3.75,23.14,40.76,27:30.00,0.4658,0.3,0.6923,0.33299999999999996,1.0,,6.0,90.0,52.0,46.0,8.0,217.0,819.0,4.0,143.0,88.0,5.0,7.0,360.0,1820.0,4.0,15.0,0.0,14.0,324.0,1.0,21.0,856.0,3.0,2.0,0.0,4.0,3.0,29.0,265.0,73.0,34.0,10.0,3.0,13.0,9.0,6.0,2.0,12.0,12.0,0.0,0.0
2021,Air Force,31.0,280.0,5.12,156.81,1229.0,5.82,7.2,8.5,40.18,36:14.77,0.4536,0.775,0.8276,0.688,0.98,1.0,13.0,403.0,225.0,44.0,11.0,832.0,4261.0,44.0,112.0,54.0,4.0,8.0,944.0,5490.0,5.0,36.0,0.0,8.0,68.0,0.0,40.0,1607.0,8.0,53.0,0.0,18.0,6.0,55.0,505.0,194.0,88.0,40.0,31.0,58.0,48.0,16.0,11.0,49.0,48.0,4.0,4.0,19.8,198.0,3.43,127.78,2518.0,5.24,2.63,22.83,43.87,23:43.46,0.4012,0.4,0.75,0.75,0.9690000000000001,0.6667000000000001,13.0,257.0,81.0,103.0,14.0,401.0,1376.0,18.0,342.0,192.0,8.0,15.0,743.0,3894.0,8.0,21.0,0.0,35.0,799.0,1.0,60.0,2632.0,4.0,89.0,0.0,20.0,8.0,71.0,569.0,172.0,69.0,25.0,10.0,36.0,27.0,8.0,6.0,32.0,31.0,3.0,2.0
2022,Air Force,27.8,265.0,5.3,161.31,916.0,5.81,2.75,10.8,38.44,36:33.15,0.4489,0.7241,0.8667,0.762,0.978,,13.0,362.0,224.0,32.0,9.0,802.0,4247.0,37.0,87.0,41.0,2.0,8.0,889.0,5163.0,4.0,11.0,0.0,5.0,54.0,0.0,34.0,1307.0,9.0,89.0,0.0,20.0,11.0,51.0,381.0,176.0,79.0,29.0,21.0,45.0,39.0,21.0,16.0,45.0,44.0,0.0,0.0,13.4,168.0,3.39,123.27,2068.0,5.03,3.11,16.94,44.05,23:26.85,0.2786,0.40909999999999996,0.75,0.75,0.941,0.3333,13.0,174.0,71.0,91.0,6.0,366.0,1239.0,10.0,291.0,170.0,9.0,10.0,657.0,3307.0,9.0,28.0,0.0,35.0,593.0,0.0,62.0,2731.0,2.0,22.0,0.0,8.0,7.0,59.0,421.0,140.0,39.0,22.0,9.0,28.0,21.0,16.0,12.0,17.0,16.0,3.0,1.0
2009,Akron,19.3,199.0,3.62,113.33,2190.0,4.91,6.42,21.63,36.7,27:12.50,0.32,0.2143,0.6579,0.41200000000000003,1.0,,12.0,231.0,88.0,92.0,19.0,393.0,1421.0,13.0,342.0,190.0,13.0,12.0,735.0,3611.0,19.0,122.0,1.0,56.0,1211.0,1.0,60.0,2202.0,13.0,180.0,2.0,16.0,11.0,70.0,610.0,150.0,48.0,14.0,3.0,38.0,25.0,17.0,7.0,30.0,30.0,0.0,0.0,28.8,237.0,4.29,127.27,2349.0,5.3,11.0,19.51,35.83,32:47.00,0.4885,0.4,0.8036,0.47100000000000003,0.956,0.0,12.0,345.0,106.0,111.0,20.0,481.0,2063.0,23.0,352.0,214.0,13.0,19.0,833.0,4412.0,17.0,187.0,2.0,43.0,839.0,2.0,53.0,1899.0,13.0,256.0,0.0,20.0,6.0,67.0,600.0,174.0,85.0,15.0,6.0,56.0,45.0,17.0,8.0,45.0,43.0,1.0,0.0
2010,Akron,15.6,176.0,3.46,97.98,1861.0,4.34,3.6,18.88,37.79,28:37.17,0.3486,0.4167,0.7692,0.667,0.826,,12.0,187.0,64.0,92.0,20.0,393.0,1361.0,10.0,349.0,174.0,14.0,12.0,742.0,3222.0,10.0,36.0,0.0,65.0,1227.0,0.0,81.0,3061.0,8.0,70.0,0.0,20.0,8.0,66.0,561.0,175.0,61.0,12.0,5.0,26.0,20.0,15.0,10.0,23.0,19.0,0.0,0.0,35.1,254.0,4.31,160.21,3169.0,6.31,6.92,20.82,38.24,31:58.58,0.43200000000000005,0.6875,0.8491,0.857,0.9420000000000001,0.0,12.0,421.0,101.0,138.0,15.0,457.0,1969.0,18.0,357.0,226.0,8.0,29.0,814.0,5138.0,25.0,173.0,0.0,33.0,687.0,1.0,50.0,1912.0,14.0,128.0,3.0,16.0,8.0,67.0,679.0,169.0,73.0,16.0,11.0,53.0,45.0,21.0,18.0,52.0,49.0,1.0,0.0
2011,Akron,14.2,190.0,3.32,93.95,1960.0,4.22,4.27,17.6,37.83,28:43.25,0.2778,0.5417000000000001,0.7692,0.7859999999999999,0.882,0.0,12.0,170.0,81.0,91.0,18.0,413.0,1373.0,7.0,376.0,171.0,11.0,12.0,789.0,3333.0,11.0,47.0,0.0,62.0,1091.0,0.0,84.0,3178.0,2.0,0.0,0.0,22.0,13.0,63.0,523.0,180.0,50.0,24.0,13.0,26.0,20.0,14.0,11.0,17.0,15.0,3.0,0.0,38.5,264.0,4.93,154.94,2491.0,6.1,7.26,22.11,37.55,31:16.75,0.44299999999999995,0.5333,0.9016,0.81,0.932,,12.0,462.0,133.0,119.0,12.0,535.0,2635.0,33.0,306.0,193.0,2.0,23.0,841.0,5126.0,23.0,167.0,0.0,38.0,840.0,0.0,51.0,1915.0,11.0,163.0,2.0,19.0,13.0,69.0,672.0,158.0,70.0,15.0,8.0,61.0,55.0,21.0,17.0,59.0,55.0,0.0,0.0
2012,Akron,26.1,287.0,3.76,127.32,3753.0,5.41,6.88,16.56,39.93,27:53.83,0.3968,0.45,0.8140000000000001,0.75,0.9740000000000001,0.5,12.0,313.0,80.0,180.0,27.0,365.0,1373.0,9.0,583.0,364.0,18.0,30.0,948.0,5126.0,24.0,165.0,0.0,45.0,745.0,0.0,68.0,2715.0,5.0,62.0,1.0,13.0,9.0,101.0,797.0,189.0,75.0,20.0,9.0,43.0,35.0,12.0,9.0,39.0,38.0,2.0,1.0,35.7,295.0,4.9,147.85,2867.0,6.02,11.06,16.03,42.0,31:49.42,0.3588,0.5333,0.8571,0.7040000000000001,0.98,0.6667000000000001,12.0,428.0,137.0,131.0,27.0,517.0,2533.0,22.0,380.0,232.0,5.0,30.0,897.0,5400.0,32.0,354.0,1.0,33.0,529.0,0.0,60.0,2520.0,18.0,157.0,0.0,19.0,8.0,71.0,594.0,170.0,61.0,15.0,8.0,56.0,48.0,27.0,19.0,50.0,49.0,3.0,2.0
2013,Akron,20.2,227.0,3.52,118.05,2633.0,4.9,3.27,18.57,42.26,29:20.67,0.3934,0.3889,0.7813,0.563,0.9670000000000001,0.0,12.0,242.0,86.0,122.0,19.0,418.0,1471.0,12.0,419.0,234.0,10.0,18.0,837.0,4104.0,22.0,72.0,0.0,44.0,817.0,0.0,66.0,2789.0,13.0,132.0,1.0,16.0,11.0,78.0,642.0,183.0,72.0,18.0,7.0,32.0,25.0,16.0,9.0,30.0,29.0,1.0,0.0,28.6,258.0,4.1,139.19,2795.0,5.51,7.27,18.36,38.16,30:38.33,0.4286,0.4118,0.8431000000000001,0.706,0.975,0.25,12.0,343.0,106.0,133.0,19.0,480.0,1969.0,16.0,385.0,238.0,13.0,27.0,865.0,4764.0,15.0,109.0,0.0,39.0,716.0,0.0,57.0,2175.0,10.0,151.0,0.0,19.0,6.0,56.0,483.0,175.0,75.0,17.0,7.0,51.0,43.0,17.0,12.0,40.0,39.0,4.0,1.0
2014,Akron,22.6,260.0,4.09,104.88,2995.0,5.03,3.75,19.56,41.88,29:05.92,0.3408,0.3333,0.6809000000000001,0.722,0.97,,12.0,271.0,93.0,142.0,25.0,363.0,1484.0,18.0,528.0,284.0,14.0,14.0,891.0,4479.0,20.0,75.0,0.0,32.0,626.0,0.0,67.0,2806.0,13.0,244.0,1.0,20.0,12.0,101.0,870.0,179.0,61.0,21.0,7.0,47.0,32.0,18.0,13.0,33.0,32.0,0.0,0.0,23.1,255.0,3.9,121.71,2670.0,5.18,7.24,19.26,39.63,30:54.08,0.36210000000000003,0.4118,0.7561,0.722,0.903,0.0,12.0,277.0,100.0,124.0,31.0,457.0,1783.0,14.0,402.0,225.0,13.0,20.0,859.0,4453.0,17.0,123.0,0.0,43.0,828.0,0.0,67.0,2655.0,14.0,160.0,0.0,22.0,11.0,95.0,849.0,174.0,63.0,17.0,7.0,41.0,31.0,18.0,13.0,31.0,28.0,4.0,0.0
