year,team_name,scoring_points_per_game,first_downs_total,rushing_yardsperattempt,passing_rating,passing_yards,total_offense_yardsperplay,punt_returns_yardsperreturn,kickoff_returns_yardsperreturn,punting_yardsperpunt,time_of_possessionpergame,third_down_conversions_conversion_perc,fourth_down_conversions_conversion_perc,red_zone_success_perc,field_goals_success_perc,pat_kicking_success_perc,two_point_conversions_success_perc,scoring_games,scoring_points,first_downs_rushing,first_downs_passing,first_downs_by_penalty,rushing_attempts,rushing_yards,rushing_td,passing_attempts,passing_completions,passing_interceptions,passing_td,total_offense_plays,total_offense_yards,punt_returns_returns,punt_returns_yards,punt_returns_td,kickoff_returns_returns,kickoff_returns_yards,kickoff_returns_td,punting_punts,punting_yards,interceptions_returns,interceptions_yards,interceptions_td,fumbles_number,fumbles_lost,penalties_number,penalties_yards,third_down_conversions_attempts,third_down_conversions_conversions,fourth_down_conversions_attempts,fourth_down_conversions_conversions,red_zone_attempts,red_zone_scores,field_goals_attempts,field_goals_made,pat_kicking_attempts,pat_kicking_made,two_point_conversions_attempts,two_point_conversions_made,opponent_scoring_points_per_game,opponent_first_downs_total,opponent_rushing_yardsperattempt,opponent_passing_rating,opponent_passing_yards,opponent_total_offense_yardsperplay,opponent_punt_returns_yardsperreturn,opponent_kickoff_returns_yardsperreturn,opponent_punting_yardsperpunt,opponent_time_of_possessionpergame,opponent_third_down_conversions_conversion_perc,opponent_fourth_down_conversions_conversion_perc,opponent_red_zone_success_perc,opponent_field_goals_success_perc,opponent_pat_kicking_success_perc,opponent_two_point_conversions_success_perc,opponent_scoring_games,opponent_scoring_points,opponent_first_downs_rushing,opponent_first_downs_passing,opponent_first_downs_by_penalty,opponent_rushing_attempts,opponent_rushing_yards,opponent_rushing_td,opponent_passing_attempts,opponent_passing_completions,opponent_passing_interceptions,opponent_passing_td,opponent_total_offense_plays,opponent_total_offense_yards,opponent_punt_returns_returns,opponent_punt_returns_yards,opponent_punt_returns_td,opponent_kickoff_returns_returns,opponent_kickoff_returns_yards,opponent_kickoff_returns_td,opponent_punting_punts,opponent_punting_yards,opponent_interceptions_returns,opponent_interceptions_yards,opponent_interceptions_td,opponent_fumbles_number,opponent_fumbles_lost,opponent_penalties_number,opponent_penalties_yards,opponent_third_down_conversions_attempts,opponent_third_down_conversions_conversions,opponent_fourth_down_conversions_attempts,opponent_fourth_down_conversions_conversions,opponent_red_zone_attempts,opponent_red_zone_scores,opponent_field_goals_attempts,opponent_field_goals_made,opponent_pat_kicking_attempts,opponent_pat_kicking_made,opponent_two_point_conversions_attempts,opponent_two_point_conversions_made
2014,Buffalo,32.3,244.0,4.44,151.6,2855.0,5.95,7.42,19.11,40.74,32:52.00,0.4573,0.5217,0.74,0.429,0.932,0.2,11.0,355.0,97.0,122.0,25.0,443.0,1965.0,16.0,367.0,235.0,12.0,32.0,810.0,4820.0,12.0,89.0,0.0,46.0,879.0,0.0,50.0,2037.0,2.0,0.0,0.0,12.0,6.0,58.0,588.0,164.0,75.0,23.0,12.0,50.0,37.0,14.0,6.0,44.0,41.0,5.0,1.0,31.5,202.0,4.27,137.87,2448.0,5.86,3.56,19.79,41.8,27:08.00,0.3766,0.7143,0.8604999999999999,0.8,0.9109999999999999,0.0,11.0,347.0,95.0,94.0,13.0,451.0,1927.0,29.0,295.0,149.0,2.0,17.0,746.0,4375.0,9.0,32.0,0.0,39.0,772.0,0.0,60.0,2508.0,12.0,147.0,1.0,18.0,13.0,72.0,646.0,154.0,58.0,21.0,15.0,43.0,37.0,10.0,8.0,45.0,41.0,2.0,0.0
2015,Buffalo,26.7,246.0,3.87,122.04,2994.0,5.27,11.6,16.6,40.36,31:04.58,0.36560000000000004,0.6522,0.8371999999999999,0.684,0.861,0.2,12.0,320.0,85.0,143.0,18.0,425.0,1643.0,17.0,455.0,283.0,16.0,16.0,880.0,4637.0,10.0,116.0,1.0,35.0,581.0,0.0,66.0,2664.0,13.0,278.0,5.0,8.0,4.0,84.0,768.0,186.0,68.0,23.0,15.0,43.0,36.0,19.0,13.0,36.0,31.0,5.0,1.0,27.6,245.0,4.55,124.56,2728.0,5.66,8.5,22.35,38.69,28:55.42,0.3933,0.4286,0.8974,0.75,1.0,0.0,12.0,331.0,108.0,116.0,21.0,491.0,2233.0,23.0,385.0,217.0,13.0,18.0,876.0,4961.0,22.0,187.0,0.0,40.0,894.0,0.0,61.0,2360.0,16.0,175.0,2.0,14.0,7.0,75.0,719.0,178.0,70.0,28.0,12.0,39.0,35.0,12.0,9.0,42.0,42.0,1.0,0.0
2016,Buffalo,16.5,220.0,4.32,107.9,2406.0,5.16,7.13,16.26,38.91,26:58.50,0.36460000000000004,0.4375,0.7857,0.611,0.9129999999999999,0.0,12.0,198.0,96.0,112.0,12.0,426.0,1839.0,12.0,397.0,212.0,11.0,11.0,823.0,4245.0,15.0,107.0,0.0,54.0,878.0,0.0,74.0,2879.0,5.0,0.0,0.0,12.0,8.0,63.0,516.0,181.0,66.0,16.0,7.0,28.0,22.0,18.0,11.0,23.0,21.0,1.0,0.0,32.3,259.0,5.09,135.72,2178.0,5.92,11.24,22.23,38.84,33:01.50,0.46149999999999997,0.375,0.8776,0.762,0.9359999999999999,0.5,12.0,388.0,147.0,96.0,16.0,597.0,3039.0,29.0,284.0,163.0,5.0,15.0,881.0,5217.0,21.0,236.0,1.0,35.0,778.0,1.0,49.0,1903.0,11.0,160.0,1.0,18.0,8.0,54.0,445.0,182.0,84.0,24.0,9.0,49.0,43.0,21.0,16.0,47.0,44.0,2.0,1.0
2017,Buffalo,28.5,251.0,3.96,148.59,3490.0,6.26,8.35,17.61,40.61,29:47.42,0.4142,0.6667000000000001,0.7636,0.625,0.925,0.3333,12.0,342.0,79.0,145.0,27.0,428.0,1693.0,18.0,400.0,234.0,6.0,24.0,828.0,5183.0,17.0,142.0,0.0,36.0,634.0,0.0,56.0,2274.0,8.0,39.0,0.0,11.0,7.0,67.0,597.0,169.0,70.0,12.0,8.0,55.0,42.0,24.0,15.0,40.0,37.0,3.0,1.0,24.8,258.0,4.38,133.15,2440.0,5.49,8.36,20.21,41.4,30:12.58,0.41850000000000004,0.55,0.7436,0.474,1.0,0.3333,12.0,298.0,136.0,105.0,17.0,534.0,2338.0,21.0,336.0,199.0,8.0,18.0,870.0,4778.0,11.0,92.0,0.0,38.0,768.0,0.0,60.0,2484.0,6.0,2.0,0.0,17.0,6.0,68.0,643.0,184.0,77.0,20.0,11.0,39.0,29.0,19.0,9.0,35.0,35.0,3.0,1.0
2018,Buffalo,34.6,309.0,4.53,133.98,3155.0,5.78,9.81,17.89,40.15,31:32.93,0.4242,0.5938,0.7576,0.667,0.871,0.5,14.0,484.0,136.0,128.0,45.0,585.0,2648.0,36.0,419.0,230.0,13.0,28.0,1004.0,5803.0,26.0,255.0,0.0,35.0,626.0,0.0,55.0,2208.0,14.0,94.0,0.0,17.0,7.0,69.0,572.0,198.0,84.0,32.0,19.0,66.0,50.0,15.0,10.0,62.0,54.0,4.0,2.0,25.9,252.0,4.14,122.92,2719.0,5.24,6.0,22.03,41.66,28:27.07,0.3738,0.6563,0.8158,0.6920000000000001,1.0,0.5,14.0,363.0,128.0,107.0,17.0,545.0,2256.0,22.0,404.0,217.0,14.0,24.0,949.0,4975.0,17.0,102.0,1.0,31.0,683.0,0.0,73.0,3041.0,13.0,53.0,0.0,19.0,10.0,106.0,1087.0,206.0,77.0,32.0,21.0,38.0,31.0,13.0,9.0,46.0,46.0,2.0,1.0
2019,Buffalo,31.5,276.0,4.94,120.5,1795.0,5.39,6.71,20.11,35.08,34:07.62,0.4485,0.64,0.9091,0.579,0.9259999999999999,,13.0,409.0,173.0,83.0,20.0,659.0,3256.0,36.0,278.0,150.0,6.0,14.0,937.0,5051.0,14.0,94.0,0.0,9.0,181.0,0.0,53.0,1859.0,11.0,152.0,2.0,11.0,8.0,64.0,580.0,194.0,87.0,25.0,16.0,55.0,50.0,19.0,11.0,54.0,50.0,0.0,0.0,21.3,199.0,2.86,130.5,2571.0,4.87,11.0,20.86,40.62,25:41.54,0.3371,0.4242,0.6829000000000001,0.706,1.0,0.0,13.0,277.0,75.0,105.0,19.0,428.0,1224.0,15.0,352.0,206.0,11.0,18.0,780.0,3795.0,15.0,165.0,0.0,37.0,772.0,0.0,60.0,2437.0,6.0,111.0,2.0,18.0,11.0,67.0,525.0,178.0,60.0,33.0,14.0,41.0,28.0,17.0,12.0,31.0,31.0,4.0,0.0
2020,Buffalo,43.4,155.0,6.71,143.56,1337.0,7.33,9.13,18.35,38.76,30:48.43,0.4815,0.5385,0.8621,0.25,1.0,,7.0,304.0,87.0,52.0,16.0,300.0,2012.0,32.0,157.0,98.0,4.0,7.0,457.0,3349.0,8.0,73.0,0.0,17.0,312.0,0.0,21.0,814.0,6.0,93.0,1.0,3.0,2.0,42.0,354.0,81.0,39.0,13.0,7.0,29.0,25.0,4.0,1.0,43.0,43.0,0.0,0.0,21.9,139.0,3.92,121.17,1421.0,5.22,0.0,23.22,43.17,29:10.57,0.31629999999999997,0.5625,0.7692,0.583,1.0,0.3333,7.0,153.0,64.0,61.0,14.0,281.0,1102.0,10.0,202.0,111.0,6.0,8.0,483.0,2523.0,2.0,0.0,0.0,23.0,534.0,0.0,36.0,1554.0,4.0,0.0,0.0,9.0,4.0,41.0,377.0,98.0,31.0,16.0,9.0,26.0,20.0,12.0,7.0,16.0,16.0,3.0,1.0
2021,Buffalo,29.3,285.0,4.24,123.32,2583.0,5.37,7.33,18.76,38.21,29:47.75,0.46740000000000004,0.5832999999999999,0.8621,0.636,1.0,0.6,12.0,351.0,139.0,118.0,28.0,539.0,2283.0,30.0,367.0,218.0,11.0,12.0,906.0,4866.0,12.0,88.0,0.0,37.0,694.0,0.0,42.0,1605.0,3.0,19.0,0.0,15.0,8.0,65.0,624.0,184.0,86.0,24.0,14.0,58.0,50.0,22.0,14.0,39.0,39.0,5.0,3.0,29.9,245.0,4.78,156.28,2651.0,6.34,10.75,17.45,39.63,29:14.00,0.3899,0.7,0.7347,0.5,0.978,,12.0,359.0,125.0,97.0,23.0,489.0,2339.0,27.0,298.0,183.0,3.0,20.0,787.0,4990.0,16.0,172.0,0.0,22.0,384.0,0.0,52.0,2061.0,11.0,165.0,0.0,20.0,9.0,95.0,846.0,159.0,62.0,20.0,14.0,49.0,36.0,20.0,10.0,46.0,45.0,0.0,0.0
2022,Buffalo,28.5,287.0,3.42,123.83,3059.0,4.89,1.0,20.63,42.58,33:36.46,0.3934,0.6111,0.907,0.857,0.976,0.0,13.0,371.0,120.0,143.0,24.0,539.0,1844.0,22.0,463.0,273.0,8.0,18.0,1002.0,4903.0,10.0,10.0,0.0,32.0,660.0,0.0,57.0,2427.0,13.0,191.0,1.0,22.0,10.0,72.0,665.0,211.0,83.0,36.0,22.0,43.0,39.0,28.0,24.0,42.0,41.0,1.0,0.0,26.7,244.0,5.02,126.44,2949.0,6.07,13.32,23.38,40.57,26:20.15,0.35259999999999997,0.44,0.8695999999999999,0.929,1.0,0.5,13.0,347.0,95.0,123.0,26.0,437.0,2193.0,23.0,410.0,234.0,13.0,19.0,847.0,5142.0,19.0,253.0,0.0,24.0,561.0,1.0,61.0,2475.0,8.0,105.0,0.0,19.0,13.0,85.0,738.0,173.0,61.0,25.0,11.0,46.0,40.0,14.0,13.0,38.0,38.0,4.0,2.0
2009,California,29.1,264.0,4.66,127.36,2895.0,5.89,12.35,20.21,41.56,29:10.31,0.3616,0.4,0.8332999999999999,0.625,0.978,0.0,13.0,378.0,106.0,136.0,21.0,472.0,2201.0,27.0,393.0,214.0,8.0,18.0,865.0,5096.0,20.0,247.0,1.0,57.0,1152.0,0.0,70.0,2909.0,11.0,159.0,2.0,22.0,9.0,68.0,642.0,177.0,64.0,10.0,4.0,42.0,35.0,24.0,15.0,46.0,45.0,2.0,0.0,25.5,244.0,3.34,137.35,3459.0,5.53,9.86,21.82,39.47,30:49.69,0.3617,0.36,0.8695999999999999,0.81,1.0,0.5,13.0,331.0,78.0,146.0,20.0,435.0,1454.0,18.0,454.0,289.0,11.0,20.0,889.0,4913.0,22.0,217.0,1.0,66.0,1440.0,0.0,70.0,2763.0,8.0,56.0,1.0,19.0,10.0,84.0,733.0,188.0,68.0,25.0,9.0,46.0,40.0,21.0,17.0,38.0,38.0,2.0,1.0
2010,California,25.8,212.0,4.44,118.07,2098.0,5.26,12.16,21.32,44.84,29:50.00,0.349,0.3333,0.8919,0.688,0.9490000000000001,,12.0,310.0,110.0,84.0,18.0,429.0,1906.0,19.0,332.0,185.0,11.0,16.0,761.0,4004.0,25.0,304.0,1.0,47.0,1002.0,0.0,63.0,2825.0,9.0,72.0,1.0,20.0,6.0,80.0,685.0,149.0,52.0,15.0,5.0,37.0,33.0,16.0,11.0,39.0,37.0,0.0,0.0,22.6,217.0,3.66,116.52,2226.0,4.8,12.95,22.48,42.45,30:10.00,0.3468,0.7,0.7895,0.611,1.0,1.0,12.0,271.0,95.0,102.0,20.0,437.0,1601.0,15.0,360.0,201.0,9.0,15.0,797.0,3827.0,20.0,259.0,2.0,54.0,1214.0,0.0,69.0,2929.0,11.0,136.0,1.0,23.0,10.0,75.0,643.0,173.0,60.0,20.0,14.0,38.0,30.0,18.0,11.0,32.0,32.0,1.0,1.0
2011,California,28.3,279.0,4.16,124.41,3206.0,5.65,5.8,20.04,43.43,31:57.00,0.4056,0.3478,0.8909,0.87,0.857,0.5,13.0,368.0,102.0,145.0,32.0,484.0,2013.0,25.0,440.0,246.0,12.0,17.0,924.0,5219.0,20.0,116.0,0.0,51.0,1022.0,1.0,54.0,2345.0,12.0,210.0,1.0,28.0,12.0,98.0,941.0,180.0,73.0,23.0,8.0,55.0,49.0,23.0,20.0,42.0,36.0,2.0,1.0,24.2,226.0,3.79,122.04,2655.0,5.15,7.0,20.39,42.68,28:03.00,0.3539,0.47619999999999996,0.7726999999999999,0.7,1.0,0.5,13.0,314.0,98.0,102.0,26.0,442.0,1673.0,17.0,398.0,224.0,12.0,19.0,840.0,4328.0,17.0,119.0,1.0,67.0,1366.0,0.0,69.0,2945.0,12.0,86.0,1.0,18.0,11.0,98.0,866.0,178.0,63.0,21.0,10.0,44.0,34.0,20.0,14.0,36.0,36.0,2.0,1.0
2012,California,23.0,239.0,4.87,119.9,2499.0,5.75,11.37,20.71,39.84,27:48.92,0.35,0.3077,0.7895,0.696,0.909,,12.0,276.0,102.0,112.0,25.0,451.0,2196.0,18.0,366.0,212.0,13.0,13.0,817.0,4695.0,19.0,216.0,1.0,55.0,1139.0,0.0,62.0,2470.0,14.0,157.0,1.0,30.0,17.0,99.0,996.0,160.0,56.0,13.0,4.0,38.0,30.0,23.0,16.0,33.0,30.0,0.0,0.0,33.1,298.0,4.26,140.11,3263.0,5.66,9.63,26.85,40.71,32:11.08,0.45299999999999996,0.4,0.807,0.563,0.9620000000000001,1.0,12.0,397.0,114.0,147.0,37.0,477.0,2032.0,18.0,458.0,290.0,14.0,32.0,935.0,5295.0,16.0,154.0,0.0,39.0,1047.0,2.0,56.0,2280.0,13.0,143.0,0.0,28.0,9.0,101.0,919.0,181.0,82.0,15.0,6.0,57.0,46.0,16.0,9.0,52.0,50.0,1.0,1.0
2013,California,23.0,291.0,3.49,119.83,3957.0,5.2,2.59,20.11,41.53,29:13.42,0.33640000000000003,0.4211,0.7209,0.85,0.9690000000000001,,12.0,276.0,87.0,182.0,22.0,426.0,1485.0,10.0,620.0,366.0,14.0,22.0,1046.0,5442.0,22.0,57.0,0.0,70.0,1408.0,0.0,75.0,3115.0,5.0,0.0,0.0,27.0,14.0,85.0,810.0,214.0,72.0,38.0,16.0,43.0,31.0,20.0,17.0,32.0,31.0,0.0,0.0,45.9,297.0,4.9,165.44,4092.0,7.08,20.18,19.0,41.23,30:46.17,0.4138,0.6667000000000001,0.8654000000000001,0.762,0.958,,12.0,551.0,109.0,159.0,29.0,462.0,2263.0,32.0,436.0,282.0,5.0,32.0,898.0,6355.0,22.0,444.0,5.0,30.0,570.0,1.0,62.0,2556.0,14.0,187.0,2.0,15.0,8.0,80.0,737.0,174.0,72.0,18.0,12.0,52.0,45.0,21.0,16.0,72.0,69.0,0.0,0.0
2014,California,38.3,319.0,4.07,145.77,4152.0,6.09,7.61,22.5,39.88,29:57.92,0.4607,0.6786,0.8824,0.647,0.982,0.25,12.0,459.0,99.0,188.0,32.0,440.0,1790.0,22.0,535.0,329.0,10.0,37.0,975.0,5942.0,23.0,175.0,0.0,52.0,1170.0,2.0,56.0,2233.0,12.0,60.0,0.0,20.0,10.0,107.0,987.0,191.0,88.0,28.0,19.0,51.0,45.0,17.0,11.0,57.0,56.0,4.0,1.0,39.8,332.0,3.98,154.54,4406.0,6.27,11.43,20.29,38.43,30:02.08,0.4194,0.7406999999999999,0.8226,0.684,1.0,0.0,12.0,477.0,95.0,203.0,34.0,436.0,1735.0,19.0,544.0,356.0,12.0,42.0,980.0,6141.0,7.0,80.0,1.0,49.0,994.0,0.0,56.0,2152.0,10.0,126.0,0.0,13.0,5.0,96.0,973.0,186.0,78.0,27.0,20.0,62.0,51.0,19.0,13.0,60.0,60.0,2.0,0.0
2015,California,37.9,341.0,4.53,160.03,4892.0,6.96,5.86,20.74,40.51,29:04.15,0.4693,0.5,0.8824,0.857,0.9640000000000001,0.5,13.0,493.0,114.0,201.0,26.0,439.0,1987.0,16.0,550.0,352.0,14.0,44.0,989.0,6879.0,14.0,82.0,0.0,43.0,892.0,0.0,47.0,1904.0,15.0,65.0,2.0,13.0,9.0,67.0,568.0,179.0,84.0,26.0,13.0,68.0,60.0,21.0,18.0,55.0,53.0,8.0,4.0,30.7,288.0,4.83,135.49,3171.0,6.1,10.33,20.94,38.05,30:55.85,0.4301,0.5882000000000001,0.9231,0.9129999999999999,0.978,0.6667000000000001,13.0,399.0,140.0,133.0,15.0,565.0,2727.0,24.0,402.0,239.0,15.0,21.0,967.0,5898.0,6.0,62.0,0.0,64.0,1340.0,1.0,59.0,2245.0,14.0,154.0,1.0,19.0,12.0,87.0,825.0,193.0,83.0,17.0,10.0,52.0,48.0,23.0,21.0,45.0,44.0,3.0,2.0
2016,California,37.1,335.0,4.47,135.73,4306.0,5.95,3.82,20.23,43.36,28:18.17,0.39409999999999995,0.7419,0.8704000000000001,0.846,1.0,0.6667000000000001,12.0,445.0,103.0,197.0,35.0,414.0,1852.0,16.0,621.0,383.0,12.0,37.0,1035.0,6158.0,17.0,65.0,0.0,53.0,1072.0,0.0,58.0,2515.0,11.0,173.0,1.0,15.0,3.0,89.0,909.0,203.0,80.0,31.0,23.0,54.0,47.0,26.0,22.0,51.0,51.0,3.0,2.0,42.6,320.0,6.15,141.87,2945.0,6.71,11.85,18.02,40.14,31:41.83,0.47200000000000003,0.8181999999999999,0.9259000000000001,0.778,1.0,0.0,12.0,511.0,158.0,133.0,29.0,532.0,3274.0,32.0,395.0,236.0,11.0,30.0,927.0,6219.0,27.0,320.0,1.0,48.0,865.0,2.0,51.0,2047.0,12.0,107.0,2.0,17.0,7.0,107.0,921.0,161.0,76.0,11.0,9.0,54.0,50.0,18.0,14.0,65.0,65.0,1.0,0.0
2017,California,27.8,265.0,3.62,121.36,3107.0,5.17,9.89,20.54,41.98,29:29.17,0.40409999999999996,0.68,0.8162999999999999,0.741,0.972,0.6667000000000001,12.0,333.0,96.0,139.0,30.0,416.0,1507.0,17.0,476.0,278.0,12.0,19.0,892.0,4614.0,9.0,89.0,0.0,46.0,945.0,0.0,54.0,2267.0,14.0,193.0,1.0,19.0,8.0,78.0,658.0,193.0,78.0,25.0,17.0,49.0,40.0,27.0,20.0,36.0,35.0,3.0,2.0,28.4,269.0,4.15,137.13,3190.0,5.81,10.47,21.25,40.0,30:30.83,0.442,0.44439999999999996,0.8085,0.778,0.9740000000000001,,12.0,341.0,116.0,136.0,17.0,475.0,1969.0,21.0,413.0,267.0,14.0,18.0,888.0,5159.0,17.0,178.0,0.0,32.0,680.0,0.0,46.0,1840.0,12.0,309.0,1.0,20.0,10.0,91.0,815.0,181.0,80.0,18.0,8.0,47.0,38.0,27.0,21.0,39.0,38.0,0.0,0.0
2018,California,21.5,251.0,4.2,111.14,2421.0,4.91,6.19,23.17,41.46,30:19.00,0.3542,0.6296,0.7179000000000001,0.706,1.0,0.0,13.0,280.0,111.0,113.0,27.0,487.0,2045.0,13.0,423.0,254.0,20.0,16.0,910.0,4466.0,27.0,167.0,0.0,35.0,811.0,1.0,72.0,2985.0,21.0,301.0,5.0,21.0,11.0,74.0,651.0,192.0,68.0,27.0,17.0,39.0,28.0,17.0,12.0,32.0,32.0,3.0,0.0,20.4,227.0,3.61,107.25,2276.0,4.59,8.96,22.17,42.23,29:41.00,0.3467,0.5455,0.9091,0.778,0.935,1.0,13.0,265.0,106.0,103.0,18.0,511.0,1847.0,13.0,387.0,223.0,21.0,13.0,898.0,4123.0,23.0,206.0,0.0,23.0,510.0,0.0,74.0,3125.0,20.0,460.0,3.0,17.0,7.0,80.0,710.0,199.0,69.0,22.0,12.0,33.0,30.0,18.0,14.0,31.0,29.0,1.0,1.0
2019,California,21.2,244.0,3.59,127.07,2561.0,5.08,11.14,20.09,39.34,29:21.38,0.3757,0.375,0.8571,0.647,0.971,0.0,13.0,276.0,104.0,105.0,35.0,476.0,1710.0,16.0,365.0,204.0,9.0,19.0,841.0,4271.0,14.0,156.0,0.0,22.0,442.0,0.0,71.0,2793.0,8.0,65.0,0.0,11.0,4.0,62.0,528.0,173.0,65.0,16.0,6.0,35.0,30.0,17.0,11.0,34.0,33.0,1.0,0.0,21.9,273.0,3.56,131.04,3434.0,5.37,8.05,22.19,41.27,30:38.15,0.40509999999999996,0.5714,0.84,0.769,0.9670000000000001,0.5,13.0,285.0,99.0,159.0,15.0,461.0,1642.0,16.0,484.0,309.0,8.0,16.0,945.0,5076.0,22.0,177.0,0.0,27.0,599.0,0.0,59.0,2435.0,9.0,122.0,0.0,21.0,8.0,94.0,886.0,195.0,79.0,28.0,16.0,50.0,42.0,26.0,20.0,30.0,29.0,2.0,1.0
2020,California,20.3,73.0,3.43,118.52,771.0,4.47,5.25,18.33,38.21,31:36.00,0.37310000000000004,0.5,0.7857,0.8,0.9,,4.0,81.0,24.0,37.0,12.0,148.0,507.0,4.0,138.0,85.0,3.0,6.0,286.0,1278.0,8.0,42.0,0.0,3.0,55.0,0.0,24.0,917.0,3.0,54.0,0.0,4.0,2.0,18.0,140.0,67.0,25.0,8.0,4.0,14.0,11.0,5.0,4.0,10.0,9.0,0.0,0.0,26.5,74.0,4.42,141.48,791.0,5.69,14.0,22.89,40.77,28:24.00,0.40740000000000004,0.5,0.75,1.0,0.929,,4.0,106.0,34.0,35.0,5.0,153.0,677.0,7.0,105.0,65.0,3.0,7.0,258.0,1468.0,5.0,70.0,0.0,9.0,206.0,0.0,22.0,897.0,3.0,14.0,0.0,3.0,2.0,27.0,232.0,54.0,22.0,6.0,3.0,16.0,12.0,3.0,3.0,14.0,13.0,0.0,0.0
2021,California,23.8,229.0,4.92,129.49,2653.0,5.9,7.14,25.84,43.09,30:20.83,0.4096,0.3333,0.7805,0.8,1.0,0.2,12.0,285.0,102.0,111.0,16.0,402.0,1976.0,17.0,382.0,235.0,8.0,16.0,784.0,4629.0,14.0,100.0,0.0,19.0,491.0,1.0,53.0,2284.0,13.0,31.0,1.0,7.0,2.0,74.0,694.0,166.0,68.0,27.0,9.0,41.0,32.0,15.0,12.0,31.0,31.0,5.0,1.0,22.3,255.0,3.93,124.9,2754.0,5.3,9.42,20.18,45.62,29:34.67,0.4637,0.5,0.75,0.632,1.0,0.5,12.0,267.0,108.0,124.0,23.0,418.0,1641.0,13.0,411.0,242.0,13.0,20.0,829.0,4395.0,12.0,113.0,0.0,28.0,565.0,0.0,52.0,2372.0,8.0,62.0,0.0,10.0,7.0,70.0,598.0,179.0,83.0,12.0,6.0,40.0,30.0,19.0,12.0,27.0,27.0,6.0,3.0
2022,California,23.9,231.0,3.63,132.85,3216.0,5.57,10.91,17.53,45.14,28:42.50,0.3533,0.5455,0.825,0.667,0.9690000000000001,0.5,12.0,287.0,68.0,139.0,24.0,319.0,1159.0,10.0,466.0,291.0,9.0,23.0,785.0,4375.0,22.0,240.0,0.0,19.0,333.0,0.0,65.0,2934.0,11.0,127.0,1.0,10.0,3.0,63.0,535.0,167.0,59.0,22.0,12.0,40.0,33.0,18.0,12.0,32.0,31.0,4.0,2.0,27.8,281.0,4.21,139.1,3354.0,5.83,9.96,19.83,42.07,31:17.50,0.39049999999999996,0.6,0.8125,0.733,0.975,0.6667000000000001,12.0,334.0,107.0,162.0,12.0,426.0,1795.0,19.0,457.0,300.0,11.0,23.0,883.0,5149.0,23.0,229.0,1.0,23.0,456.0,0.0,55.0,2314.0,9.0,31.0,0.0,14.0,7.0,72.0,648.0,169.0,66.0,25.0,15.0,48.0,39.0,15.0,11.0,40.0,39.0,3.0,2.0
2009,Central Michigan,33.9,339.0,4.55,147.25,3577.0,5.96,13.5,20.84,38.08,30:20.00,0.5,0.44439999999999996,0.9091,0.7390000000000001,0.966,0.3333,14.0,475.0,135.0,183.0,21.0,518.0,2357.0,29.0,478.0,329.0,9.0,28.0,996.0,5934.0,20.0,270.0,2.0,49.0,1021.0,1.0,51.0,1942.0,11.0,128.0,1.0,9.0,6.0,74.0,704.0,184.0,92.0,9.0,4.0,66.0,60.0,23.0,17.0,58.0,56.0,3.0,1.0,18.9,265.0,3.66,117.47,3099.0,5.13,4.5,21.36,38.81,29:39.50,0.38539999999999996,0.3,0.7308,0.643,1.0,1.0,14.0,265.0,90.0,151.0,24.0,470.0,1720.0,16.0,469.0,273.0,11.0,12.0,939.0,4819.0,8.0,36.0,0.0,78.0,1666.0,0.0,63.0,2445.0,9.0,138.0,2.0,16.0,9.0,80.0,689.0,205.0,79.0,20.0,6.0,52.0,38.0,28.0,18.0,29.0,29.0,1.0,1.0
2010,Central Michigan,24.4,264.0,3.31,124.61,3408.0,5.44,8.95,19.57,39.35,30:20.83,0.3743,0.5926,0.7646999999999999,0.5,0.912,0.25,12.0,293.0,83.0,154.0,27.0,383.0,1269.0,18.0,477.0,288.0,18.0,17.0,860.0,4677.0,19.0,170.0,1.0,53.0,1037.0,0.0,55.0,2164.0,4.0,69.0,1.0,24.0,11.0,68.0,619.0,171.0,64.0,27.0,16.0,51.0,39.0,20.0,10.0,34.0,31.0,4.0,1.0,26.0,242.0,4.52,130.7,2461.0,5.54,11.75,22.71,36.76,29:39.17,0.38789999999999997,0.3846,0.8,0.684,0.9740000000000001,0.0,12.0,312.0,113.0,107.0,22.0,456.0,2063.0,20.0,360.0,219.0,4.0,16.0,816.0,4524.0,20.0,235.0,1.0,42.0,954.0,2.0,66.0,2426.0,18.0,95.0,0.0,23.0,14.0,84.0,755.0,165.0,64.0,13.0,5.0,45.0,36.0,19.0,13.0,38.0,37.0,1.0,0.0
